Item_ID,is_diary,type(veg/non-veg),time(lifespan),temp,distance,label
1,0,0,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,0
1,0,0,0,1,1,0
1,0,0,1,0,0,1
1,0,0,1,0,1,1
1,0,0,1,1,0,1
1,0,0,1,1,1,1
2,1,0,0,0,0,0
2,1,0,0,0,1,0
2,1,0,0,1,0,0
2,1,0,0,1,1,0
2,1,0,1,0,0,1
2,1,0,1,0,1,1
2,1,0,1,1,0,1
2,1,0,1,1,1,1
3,0,0,0,0,0,0
3,0,0,0,0,1,0
3,0,0,0,1,0,0
3,0,0,0,1,1,0
3,0,0,1,0,0,1
3,0,0,1,0,1,1
3,0,0,1,1,0,1
3,0,0,1,1,1,1
3,0,1,0,0,0,0
3,0,1,0,0,1,0
3,0,1,0,1,0,0
3,0,1,0,1,1,1
3,0,1,1,0,0,1
3,0,1,1,0,1,1
3,0,1,1,1,0,1
3,0,1,1,1,1,1
3,1,0,0,0,0,0
3,1,0,0,0,1,0
3,1,0,0,1,0,0
3,1,0,0,1,1,1
3,1,0,1,0,0,1
3,1,0,1,0,1,1
3,1,0,1,1,0,1
3,1,0,1,1,1,1
3,1,1,0,0,0,0
3,1,1,0,0,1,0
3,1,1,0,1,0,1
3,1,1,0,1,1,1
3,1,1,1,0,0,1
3,1,1,1,0,1,1
3,1,1,1,1,0,1
3,1,1,1,1,1,1
4,0,0,0,0,0,0
4,0,0,0,0,1,0
4,0,0,0,1,0,0
4,0,0,0,1,1,0
4,0,0,1,0,0,1
4,0,0,1,0,1,1
4,0,0,1,1,0,1
4,0,0,1,1,1,1
4,1,0,0,0,0,0
4,1,0,0,0,1,0
4,1,0,0,1,0,0
4,1,0,0,1,1,1
4,1,0,1,0,0,1
4,1,0,1,0,1,1
4,1,0,1,1,0,1
4,1,0,1,1,1,1
5,1,0,0,0,0,0
5,1,0,0,0,1,0
5,1,0,0,1,0,0
5,1,0,0,1,1,1
5,1,0,1,0,0,1
5,1,0,1,0,1,1
5,1,0,1,1,0,1
5,1,0,1,1,1,1
6,0,0,0,0,0,0
6,0,0,0,0,1,0
6,0,0,0,1,0,0
6,0,0,0,1,1,0
6,0,0,1,0,0,1
6,0,0,1,0,1,1
6,0,0,1,1,0,1
6,0,0,1,1,1,1
7,0,0,0,0,0,0
7,0,0,0,0,1,0
7,0,0,0,1,0,0
7,0,0,0,1,1,0
7,0,0,1,0,0,1
7,0,0,1,0,1,1
7,0,0,1,1,0,1
7,0,0,1,1,1,1
7,0,1,0,0,0,0
7,0,1,0,0,1,0
7,0,1,0,1,0,0
7,0,1,0,1,1,1
7,0,1,1,0,0,1
7,0,1,1,0,1,1
7,0,1,1,1,0,1
7,0,1,1,1,1,1
7,1,0,0,0,0,0
7,1,0,0,0,1,0
7,1,0,0,1,0,0
7,1,0,0,1,1,1
7,1,0,1,0,0,1
7,1,0,1,0,1,1
7,1,0,1,1,0,1
7,1,0,1,1,1,1
7,1,1,0,0,0,0
7,1,1,0,0,1,0
7,1,1,0,1,0,0
7,1,1,0,1,1,1
7,1,1,1,0,0,1
7,1,1,1,0,1,1
7,1,1,1,1,0,1
7,1,1,1,1,1,1
8,0,0,0,0,0,0
8,0,0,0,0,1,0
8,0,0,0,1,0,0
8,0,0,0,1,1,0
8,0,0,1,0,0,1
8,0,0,1,0,1,1
8,0,0,1,1,0,1
8,0,0,1,1,1,1
8,0,1,0,0,0,0
8,0,1,0,0,1,0
8,0,1,0,1,0,0
8,0,1,0,1,1,0
8,0,1,1,0,0,1
8,0,1,1,0,1,1
8,0,1,1,1,0,1
8,0,1,1,1,1,1
8,1,0,0,0,0,0
8,1,0,0,0,1,0
8,1,0,0,1,0,0
8,1,0,0,1,1,1
8,1,0,1,0,0,1
8,1,0,1,0,1,1
8,1,0,1,1,0,1
8,1,0,1,1,1,1
8,1,1,0,0,0,0
8,1,1,0,0,1,0
8,1,1,0,1,0,0
8,1,1,0,1,1,1
8,1,1,1,0,0,1
8,1,1,1,0,1,1
8,1,1,1,1,0,1
8,1,1,1,1,1,1
